Taille,SeqSimple,SeqOpti,Dicho
100000,0.000068,0.000107,0.000000
200000,0.000147,0.000180,0.000001
400000,0.000253,0.000348,0.000000
600000,0.000340,0.000614,0.000000
800000,0.000600,0.000934,0.000001
1000000,0.000772,0.001073,0.000000
1200000,0.001166,0.001147,0.000000
1400000,0.000910,0.001528,0.000000
1600000,0.001044,0.001757,0.000000
1800000,0.001621,0.002224,0.000000
